Units,Discounts,Fixed Costs,Variable Costs,Revenue,month,qtr,Year,region,country,State,ProductType,Product,Source,YearMonth
8,4.79,14.86,47.22,741.2,January,Qtr 1,2017,AMERICAS,United States,Wisconsin,Cosmetics,Skin,Peru,2017-01
11,46.75,267.53,821.74,12755.9,November,Qtr 4,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Peru,2017-11
12,0,291.46,1906.68,18395.5,July,Qtr 3,2017,AMERICAS,United States,California,Cosmetics,Skin,Dominican Republic,2017-07
10,0,27.95,33.21,1615.4,June,Qtr 2,2017,AMERICAS,United States,Arizona,Oils and Butters,Oil,Peru,2017-06
5,46.5,133.11,409.4,12693,November,Qtr 4,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Dominican Republic,2017-11
6,59.34,120.88,787.85,12633.8,October,Qtr 4,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Peru,2017-10
13,31.73,135.37,129.6,6746.5,January,Qtr 1,2017,AMERICAS,United States,New York,Oils and Butters,Butter,Mexico,2017-01
8,12.39,41.6,200.13,2623.9,January,Qtr 1,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Peru,2017-01
12,14.47,93.9,555.68,5925.7,August,Qtr 3,2017,AMERICAS,United States,Florida,Avocados,Avocado,Dominican Republic,2017-08
9,0,92.44,66.65,4606.9,March,Qtr 1,2017,AMERICAS,United States,South Carolina,Cosmetics,Skin,Dominican Republic,2017-03
10,23.66,253.16,967.38,12616.6,October,Qtr 4,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Peru,2017-10
12,0,163.16,213.28,10298.4,July,Qtr 3,2017,AMERICAS,United States,Idaho,Oils and Butters,Oil,Dominican Republic,2017-07
12,4.88,17.34,66.65,864,July,Qtr 3,2017,AMERICAS,United States,Delaware,Cosmetics,Skin,Mexico,2017-07
8,0,261.32,180.65,12460,June,Qtr 2,2017,AMERICAS,United States,Washington,Avocados,Avocado,Dominican Republic,2017-06
4,3.05,15.97,87.43,1007.7,January,Qtr 1,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Dominican Republic,2017-01
10,19.53,72.33,341.36,10379.5,May,Qtr 2,2017,AMERICAS,United States,South Carolina,Oils and Butters,Oil,Peru,2017-05
12,3.66,263.5,14.81,1313.1,July,Qtr 3,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Dominican Republic,2017-07
24,0,120.43,1177.72,12587.5,October,Qtr 4,2017,AMERICAS,United States,Wisconsin,Avocados,Avocado,Peru,2017-10
9,1.66,5.38,24.28,678.3,March,Qtr 1,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Dominican Republic,2017-03
4,2.39,5.44,6.8,343.1,February,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-02
12,36.15,425.61,1055.75,38497.9,July,Qtr 3,2017,AMERICAS,United States,Virginia,Avocados,Avocado,Dominican Republic,2017-07
10,19.53,144.66,878.43,10379.5,April,Qtr 2,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Peru,2017-04
10,0.09,0.55,1.85,27.5,August,Qtr 3,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Dominican Republic,2017-08
9,43.21,171.71,870.72,8859.8,February,Qtr 1,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Dominican Republic,2017-02
12,33.8,2741.75,174.04,14383,August,Qtr 3,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Peru,2017-08
10,0,243.55,1235.4,12567.1,October,Qtr 4,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Mexico,2017-10
12,41.27,198.96,155.75,12557.2,November,Qtr 4,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Peru,2017-11
10,0,198.46,194.44,12524.6,October,Qtr 4,2017,AMERICAS,United States,Hawaii,Oils and Butters,Butter,Mexico,2017-10
9,0,140.13,768.83,8039.7,February,Qtr 1,2017,AMERICAS,United States,Colorado,Cosmetics,Skin,Peru,2017-02
18,19.34,227.95,1036.34,10309.6,April,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Mexico,2017-04
13,227,572.7,751.34,57555.1,July,Qtr 3,2017,AMERICAS,United States,Minnesota,Cosmetics,Skin,Mexico,2017-07
9,93.32,249.38,129.6,13409,January,Qtr 1,2017,AMERICAS,United States,Oklahoma,Oils and Butters,Oil,Mexico,2017-01
22,18.75,294.32,1216.8,13311.1,September,Qtr 3,2017,AMERICAS,United States,Utah,Avocados,Avocado,Peru,2017-09
13,37.39,212.64,1204.19,13276.5,December,Qtr 4,2017,AMERICAS,United States,Colorado,Cosmetics,Hair,Dominican Republic,2017-12
12,62.34,256.98,977.01,13260.3,September,Qtr 3,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Peru,2017-09
12,16.03,163.11,779.46,8129.5,February,Qtr 1,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Peru,2017-02
10,23.28,196.63,1286.66,12410.4,October,Qtr 4,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Dominican Republic,2017-10
14,50.6,851.2,2815.64,38497.9,August,Qtr 3,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Dominican Republic,2017-08
12,34.64,216.75,1209.07,12302.5,August,Qtr 3,2017,AMERICAS,United States,Utah,Avocados,Avocado,Peru,2017-08
10,23.28,491.59,1543.6,12410.4,October,Qtr 4,2017,AMERICAS,United States,Arkansas,Cosmetics,Skin,Mexico,2017-10
22,0,21.64,71.58,978.1,July,Qtr 3,2017,AMERICAS,United States,Arizona,Oils and Butters,Butter,Peru,2017-07
10,23.28,491.59,1543.6,12410.4,October,Qtr 4,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Peru,2017-10
12,74.54,127,514.86,13248.8,September,Qtr 3,2017,AMERICAS,United States,Hawaii,Oils and Butters,Oil,Mexico,2017-09
21,40.28,126.24,1234.57,13193.5,September,Qtr 3,2017,AMERICAS,United States,Virginia,Oils and Butters,Butter,Peru,2017-09
18,19.34,227.95,113.18,10309.6,April,Qtr 2,2017,AMERICAS,United States,Maine,Oils and Butters,Butter,Peru,2017-04
10,0,297.17,1269.72,18751,June,Qtr 2,2017,AMERICAS,United States,Maine,Oils and Butters,Oil,Mexico,2017-06
19,10.33,93.13,316.35,2494.7,February,Qtr 1,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Dominican Republic,2017-02
21,334.91,272.42,29744.95,50953.2,August,Qtr 3,2017,AMERICAS,United States,Alabama,Oils and Butters,Oil,Dominican Republic,2017-08
12,34.08,255.63,141.39,13190.2,September,Qtr 3,2017,AMERICAS,United States,South Carolina,Avocados,Avocado,Dominican Republic,2017-09
4,1.6,2.73,208.86,343.1,January,Qtr 1,2017,AMERICAS,United States,Wisconsin,Cosmetics,Hair,Dominican Republic,2017-01
8,9.04,76.26,390.53,4812.8,January,Qtr 1,2017,AMERICAS,United States,Wisconsin,Avocados,Avocado,Peru,2017-01
4,8.06,26.09,170.63,13057.7,January,Qtr 1,2017,AMERICAS,United States,Oklahoma,Avocados,Avocado,Peru,2017-01
5,0,7.55,6.8,476.7,July,Qtr 3,2017,AMERICAS,United States,Louisiana,Cosmetics,Skin,Dominican Republic,2017-07
13,49.32,195.63,1097.19,12346.6,November,Qtr 4,2017,AMERICAS,United States,California,Avocados,Avocado,Mexico,2017-11
22,67.95,727.13,1443.16,13154.5,September,Qtr 3,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-09
12,0,478.37,1889.9,22808.9,June,Qtr 2,2017,AMERICAS,United States,Montana,Oils and Butters,Oil,Dominican Republic,2017-06
11,0,216.02,796.22,10299.8,April,Qtr 2,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Mexico,2017-04
9,98.37,767.16,835.99,40301.5,January,Qtr 1,2017,AMERICAS,United States,Nevada,Avocados,Avocado,Dominican Republic,2017-01
14,0,258.48,1021.04,12324.6,November,Qtr 4,2017,AMERICAS,United States,Tennessee,Cosmetics,Skin,Peru,2017-11
10,38.49,1887.52,127.74,10252.1,May,Qtr 2,2017,AMERICAS,United States,Florida,Oils and Butters,Oil,Dominican Republic,2017-05
22,0,290.85,1030.7,13154.5,September,Qtr 3,2017,AMERICAS,United States,Arkansas,Oils and Butters,Oil,Dominican Republic,2017-09
12,4.51,9.69,46.29,483.6,July,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Dominican Republic,2017-07
13,80.83,194.97,1275.75,12305.5,November,Qtr 4,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Dominican Republic,2017-11
9,9.5,53.47,228.3,3373.3,February,Qtr 1,2017,AMERICAS,United States,Wisconsin,Cosmetics,Hair,Peru,2017-02
9,12.49,70.27,300.18,4433.9,March,Qtr 1,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Mexico,2017-03
10,38.49,180.62,863.9,10252.1,April,Qtr 2,2017,AMERICAS,United States,Illinois,Cosmetics,Hair,Mexico,2017-04
6,86,675.2,460.6,30537.3,June,Qtr 2,2017,AMERICAS,United States,Utah,Avocados,Avocado,Mexico,2017-06
8,69.01,196.57,1262.04,36765,August,Qtr 3,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Mexico,2017-08
12,42.23,196,1165.63,11246.6,August,Qtr 3,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Mexico,2017-08
10,1.57,13.46,22.95,1186.1,June,Qtr 2,2017,AMERICAS,United States,Kentucky,Cosmetics,Skin,Dominican Republic,2017-06
9,78.44,372.67,1525.6,18571.7,January,Qtr 1,2017,AMERICAS,United States,New York,Avocados,Avocado,Dominican Republic,2017-01
8,34.46,116.97,980.76,12225.8,October,Qtr 4,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Mexico,2017-10
12,18.95,89.95,322.15,8965.2,March,Qtr 1,2017,AMERICAS,United States,Washington,Oils and Butters,Oil,Peru,2017-03
10,0,192.08,1159.68,12123.3,October,Qtr 4,2017,AMERICAS,United States,Illinois,Oils and Butters,Butter,Mexico,2017-10
11,0,127.11,390.74,12121.4,October,Qtr 4,2017,AMERICAS,United States,Arkansas,Avocados,Avocado,Mexico,2017-10
9,1.22,8.88,6.48,442,March,Qtr 1,2017,AMERICAS,United States,Maryland,Oils and Butters,Oil,Dominican Republic,2017-03
6,8.83,36.4,25.36,1164.9,March,Qtr 1,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Peru,2017-03
18,15.83,57.59,422.35,12038.5,November,Qtr 4,2017,AMERICAS,United States,Iowa,Oils and Butters,Oil,Dominican Republic,2017-11
13,83.79,208.11,1166.63,13134,December,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-12
9,51.02,247.96,1093.29,12357.7,February,Qtr 1,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Peru,2017-02
11,0,532.58,1178.13,10157.6,April,Qtr 2,2017,AMERICAS,United States,Texas,Avocados,Avocado,Dominican Republic,2017-04
9,1.58,6.64,32.06,839.1,February,Qtr 1,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Peru,2017-02
8,0,81.23,591.5,7150.1,July,Qtr 3,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-07
13,0,192.81,1092.06,12038,November,Qtr 4,2017,AMERICAS,United States,Indiana,Oils and Butters,Oil,Mexico,2017-11
6,3.57,6.03,27.21,763.4,January,Qtr 1,2017,AMERICAS,United States,Texas,Oils and Butters,Oil,Peru,2017-01
11,0,106.51,294.53,10157.6,April,Qtr 2,2017,AMERICAS,United States,Missouri,Cosmetics,Skin,Mexico,2017-04
13,0,482.02,1419.69,12038,November,Qtr 4,2017,AMERICAS,United States,Iowa,Oils and Butters,Oil,Peru,2017-11
9,21.78,367.34,1153.74,9273.7,January,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-01
13,55.66,147.46,193.37,14819.9,August,Qtr 3,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Dominican Republic,2017-08
10,0,8.34,7.78,526.2,August,Qtr 3,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-08
8,0,24.23,137.72,4263.8,June,Qtr 2,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Dominican Republic,2017-06
12,40.65,95.26,375.4,10814.3,July,Qtr 3,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Peru,2017-07
18,0,273.39,1115.92,9625.3,June,Qtr 2,2017,AMERICAS,United States,Iowa,Oils and Butters,Butter,Mexico,2017-06
6,14.03,74.34,451.72,4978.2,March,Qtr 1,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Dominican Republic,2017-03
13,95.2,106.37,368.16,10144.1,May,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Dominican Republic,2017-05
9,104.31,414.56,320.77,27763.4,February,Qtr 1,2017,AMERICAS,United States,Michigan,Oils and Butters,Oil,Peru,2017-02
21,28.54,141.2,200.11,10131.2,May,Qtr 2,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Peru,2017-05
10,4.79,51.03,195.33,2543.3,June,Qtr 2,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Mexico,2017-06
15,7.72,90.89,82.67,4110.2,February,Qtr 1,2017,AMERICAS,United States,South Carolina,Cosmetics,Skin,Peru,2017-02
10,39.3,114.86,288.64,9956.5,February,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Dominican Republic,2017-02
8,40.79,348.92,1464.45,15781.5,February,Qtr 1,2017,AMERICAS,United States,Tennessee,Avocados,Avocado,Mexico,2017-02
24,23,66.27,422,5833.7,June,Qtr 2,2017,AMERICAS,United States,Texas,Oils and Butters,Oil,Mexico,2017-06
8,48.7,409.59,184.31,18525.3,August,Qtr 3,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Dominican Republic,2017-08
6,1.44,4.83,4.87,304.2,July,Qtr 3,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Dominican Republic,2017-07
13,45.16,96.3,417.32,12023.4,November,Qtr 4,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Dominican Republic,2017-11
10,126.37,353.1,1627.77,16836.9,August,Qtr 3,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Mexico,2017-08
5,46.19,275.24,1015.15,13123.6,September,Qtr 3,2017,AMERICAS,United States,Utah,Avocados,Avocado,Dominican Republic,2017-09
11,0,106.16,367.18,10123.8,April,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Cosmetics,Hair,Peru,2017-04
11,0,212.32,107.01,10123.8,May,Qtr 2,2017,AMERICAS,United States,Alabama,Avocados,Avocado,Peru,2017-05
6,7.32,23.96,31.08,1511.6,July,Qtr 3,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Dominican Republic,2017-07
13,43.11,1996.72,162.83,13122.7,December,Qtr 4,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Peru,2017-12
20,10.33,121.19,82.67,5480.3,March,Qtr 1,2017,AMERICAS,United States,Washington,Oils and Butters,Oil,Peru,2017-03
15,0,110.37,376.94,9983.3,March,Qtr 1,2017,AMERICAS,United States,Arkansas,Avocados,Avocado,Mexico,2017-03
11,0,106.16,325.95,10123.8,May,Qtr 2,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Peru,2017-05
11,20.3,249.82,1085.84,13103.3,December,Qtr 4,2017,AMERICAS,United States,Arizona,Avocados,Avocado,Dominican Republic,2017-12
10,88.25,216.71,605.75,18788,March,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Dominican Republic,2017-03
11,0,212.32,651.89,10123.8,April,Qtr 2,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Dominican Republic,2017-04
12,47.22,199.06,977.15,12563.6,July,Qtr 3,2017,AMERICAS,United States,South Carolina,Cosmetics,Skin,Mexico,2017-07
10,0,2511.95,137.78,11958.8,October,Qtr 4,2017,AMERICAS,United States,Louisiana,Oils and Butters,Oil,Mexico,2017-10
13,0,131,469.35,12427.9,December,Qtr 4,2017,AMERICAS,United States,Oklahoma,Oils and Butters,Butter,Dominican Republic,2017-12
11,0,212.32,147.27,10123.8,April,Qtr 2,2017,AMERICAS,United States,Texas,Cosmetics,Hair,Peru,2017-04
9,1.03,3.68,12.96,368.3,January,Qtr 1,2017,AMERICAS,United States,Kentucky,Cosmetics,Hair,Mexico,2017-01
19,4.31,318.38,29.43,2084,January,Qtr 1,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-01
12,0,252.27,1096.94,13016.9,September,Qtr 3,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Dominican Republic,2017-09
11,0,211.61,974.89,10089.9,April,Qtr 2,2017,AMERICAS,United States,Alaska,Cosmetics,Skin,Dominican Republic,2017-04
10,0,177.13,108.23,10053.7,April,Qtr 2,2017,AMERICAS,United States,Montana,Avocados,Avocado,Dominican Republic,2017-04
12,36.19,101.64,650.89,6413.3,July,Qtr 3,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Mexico,2017-07
11,18.34,248.14,188.5,13016,December,Qtr 4,2017,AMERICAS,United States,Kentucky,Cosmetics,Skin,Peru,2017-12
10,28.17,175.96,107.25,9987.5,April,Qtr 2,2017,AMERICAS,United States,Georgia,Avocados,Avocado,Peru,2017-04
4,1.83,4.05,17.49,509,January,Qtr 1,2017,AMERICAS,United States,Washington,Avocados,Avocado,Peru,2017-01
12,25.61,65.57,252.58,8275.8,August,Qtr 3,2017,AMERICAS,United States,New Mexico,Avocados,Avocado,Dominican Republic,2017-08
13,48.82,208.22,1179.82,13001,December,Qtr 4,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Dominican Republic,2017-12
10,27.98,96.14,344.19,9921.4,May,Qtr 2,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-05
8,138.57,272.02,742.07,24607.5,March,Qtr 1,2017,AMERICAS,United States,Massachusetts,Avocados,Avocado,Peru,2017-03
13,39.17,1795.94,155.75,11931.5,November,Qtr 4,2017,AMERICAS,United States,Mississippi,Avocados,Avocado,Peru,2017-11
10,27.98,174.79,106.28,9921.4,April,Qtr 2,2017,AMERICAS,United States,Florida,Avocados,Avocado,Dominican Republic,2017-04
9,14.07,85.44,306.17,8816.8,March,Qtr 1,2017,AMERICAS,United States,Maryland,Avocados,Avocado,Peru,2017-03
13,54.78,207.69,1092.06,12966.6,December,Qtr 4,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-12
6,8.45,236.52,18.46,1492.4,July,Qtr 3,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Peru,2017-07
13,12.29,190.58,1002.35,11899.1,November,Qtr 4,2017,AMERICAS,United States,Wyoming,Oils and Butters,Oil,Peru,2017-11
10,18.59,78.35,341.26,9890,May,Qtr 2,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Dominican Republic,2017-05
18,50.19,162.86,12785.29,20558.5,January,Qtr 1,2017,AMERICAS,United States,Iowa,Avocados,Avocado,Peru,2017-01
9,119,440.08,1021.84,28164.4,February,Qtr 1,2017,AMERICAS,United States,Minnesota,Oils and Butters,Oil,Dominican Republic,2017-02
22,53.39,285.66,141.37,12919.6,September,Qtr 3,2017,AMERICAS,United States,Delaware,Avocados,Avocado,Dominican Republic,2017-09
10,22.51,93.09,126.58,8707.1,August,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Peru,2017-08
13,16.76,190.58,140.4,11899.1,November,Qtr 4,2017,AMERICAS,United States,Texas,Oils and Butters,Oil,Mexico,2017-11
4,0.3,2.4,1.93,151.8,March,Qtr 1,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-03
9,1.69,6.92,44.15,609.5,July,Qtr 3,2017,AMERICAS,United States,Washington,Avocados,Avocado,Mexico,2017-07
4,0,10.31,39.83,1301.1,January,Qtr 1,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Peru,2017-01
10,36.24,249.32,842.45,12864.8,September,Qtr 3,2017,AMERICAS,United States,Alabama,Oils and Butters,Butter,Peru,2017-09
10,18.59,1488.65,129.95,9890,May,Qtr 2,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Dominican Republic,2017-05
11,22.34,124.77,431,11898,November,Qtr 4,2017,AMERICAS,United States,North Carolina,Avocados,Avocado,Peru,2017-11
10,24.13,122.94,443.44,12825.2,September,Qtr 3,2017,AMERICAS,United States,Texas,Avocados,Avocado,Peru,2017-09
19,49.98,219.34,673.89,19015.1,January,Qtr 1,2017,AMERICAS,United States,Wyoming,Cosmetics,Hair,Dominican Republic,2017-01
12,36.05,245.14,144.84,12786.9,September,Qtr 3,2017,AMERICAS,United States,Tennessee,Avocados,Avocado,Peru,2017-09
9,30.42,128.25,839.26,8093.2,January,Qtr 1,2017,AMERICAS,United States,Arkansas,Cosmetics,Skin,Peru,2017-01
22,11.45,135.04,84.11,6106.7,August,Qtr 3,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Peru,2017-08
11,15.64,249.49,1149.65,11896.6,November,Qtr 4,2017,AMERICAS,United States,Indiana,Avocados,Avocado,Peru,2017-11
12,35.58,2405.38,152.74,12618.6,September,Qtr 3,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Dominican Republic,2017-09
9,1.34,3.59,17.49,452.5,February,Qtr 1,2017,AMERICAS,United States,Maryland,Oils and Butters,Oil,Dominican Republic,2017-02
13,55.77,187.97,1053.54,11863,November,Qtr 4,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Peru,2017-11
9,46.21,384.45,892.92,12303.3,February,Qtr 1,2017,AMERICAS,United States,Arkansas,Avocados,Avocado,Mexico,2017-02
4,0.64,2.63,11.66,165.2,January,Qtr 1,2017,AMERICAS,United States,Kansas,Oils and Butters,Butter,Dominican Republic,2017-01
5,0,32.42,2.91,215.3,June,Qtr 2,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Dominican Republic,2017-06
12,33.52,377.17,1644.78,23804.1,June,Qtr 2,2017,AMERICAS,United States,Maine,Oils and Butters,Oil,Peru,2017-06
10,18.59,156.7,820.41,9890,April,Qtr 2,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Dominican Republic,2017-04
10,18.59,156.7,1024.77,9890,April,Qtr 2,2017,AMERICAS,United States,West Virginia,Avocados,Avocado,Dominican Republic,2017-04
4,0.3,2.4,15.54,151.8,February,Qtr 1,2017,AMERICAS,United States,Connecticut,Avocados,Avocado,Peru,2017-02
10,18.59,78.35,341.26,9890,May,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-05
10,0,229.45,174.54,11839.5,October,Qtr 4,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Mexico,2017-10
4,4.69,15.97,102,1007.7,January,Qtr 1,2017,AMERICAS,United States,Washington,Oils and Butters,Butter,Mexico,2017-01
11,0,170.04,1116.95,11971.2,June,Qtr 2,2017,AMERICAS,United States,Louisiana,Avocados,Avocado,Mexico,2017-06
9,36.15,83.9,299.59,9629.5,August,Qtr 3,2017,AMERICAS,United States,Ohio,Avocados,Avocado,Peru,2017-08
9,8.03,38.91,69.74,1914.6,January,Qtr 1,2017,AMERICAS,United States,South Dakota,Avocados,Avocado,Peru,2017-01
9,34.72,195.35,255.94,12329.8,January,Qtr 1,2017,AMERICAS,United States,New Hampshire,Avocados,Avocado,Peru,2017-01
10,0,121.78,463.15,12567.1,September,Qtr 3,2017,AMERICAS,United States,Tennessee,Avocados,Avocado,Dominican Republic,2017-09
13,22.21,93.72,368.05,11828.5,November,Qtr 4,2017,AMERICAS,United States,Texas,Avocados,Avocado,Peru,2017-11
12,44.22,120.44,7812.24,12562,September,Qtr 3,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Mexico,2017-09
11,40.52,174.02,535.06,8296.4,July,Qtr 3,2017,AMERICAS,United States,Kentucky,Oils and Butters,Oil,Peru,2017-07
9,0,194.66,926.56,11169.4,February,Qtr 1,2017,AMERICAS,United States,Oregon,Oils and Butters,Oil,Mexico,2017-02
4,1.22,6.58,12.68,323.5,January,Qtr 1,2017,AMERICAS,United States,Kansas,Avocados,Avocado,Peru,2017-01
12,0,143.13,137.95,9031.1,March,Qtr 1,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Peru,2017-03
6,4.13,7.15,66.57,718.3,August,Qtr 3,2017,AMERICAS,United States,Washington,Avocados,Avocado,Dominican Republic,2017-08
9,0,227.68,135.81,11960.5,March,Qtr 1,2017,AMERICAS,United States,Florida,Oils and Butters,Oil,Dominican Republic,2017-03
8,4.79,7.58,413.36,685.1,March,Qtr 1,2017,AMERICAS,United States,Georgia,Oils and Butters,Oil,Dominican Republic,2017-03
10,11.75,192.51,887.72,8344.5,January,Qtr 1,2017,AMERICAS,United States,Alabama,Cosmetics,Hair,Peru,2017-01
14,59.69,237.99,1033.8,12481.7,December,Qtr 4,2017,AMERICAS,United States,Montana,Oils and Butters,Butter,Peru,2017-12
9,130.56,164.21,523.03,16365.9,February,Qtr 1,2017,AMERICAS,United States,Montana,Avocados,Avocado,Peru,2017-02
12,52.66,323.53,23266.99,37391.4,June,Qtr 2,2017,AMERICAS,United States,New Jersey,Oils and Butters,Oil,Peru,2017-06
12,38.42,108.18,385.9,12413.7,August,Qtr 3,2017,AMERICAS,United States,Illinois,Avocados,Avocado,Dominican Republic,2017-08
12,87.59,197.31,189.44,12449.3,September,Qtr 3,2017,AMERICAS,United States,Nebraska,Avocados,Avocado,Mexico,2017-09
13,37.69,56.48,389.87,11806.2,October,Qtr 4,2017,AMERICAS,United States,North Carolina,Oils and Butters,Oil,Dominican Republic,2017-10
9,49.85,187.23,208.66,10627.7,August,Qtr 3,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Dominican Republic,2017-08
10,18.59,156.7,820.41,9890,April,Qtr 2,2017,AMERICAS,United States,Rhode Island,Avocados,Avocado,Dominican Republic,2017-04
10,56.33,3169.4,249,20003.4,June,Qtr 2,2017,AMERICAS,United States,Wisconsin,Oils and Butters,Oil,Peru,2017-06
15,12.05,218.14,198.81,9865.9,April,Qtr 2,2017,AMERICAS,United States,Oregon,Avocados,Avocado,Peru,2017-04
12,0,209.06,874.63,11866,August,Qtr 3,2017,AMERICAS,United States,Minnesota,Avocados,Avocado,Dominican Republic,2017-08
10,0,196.37,937.76,9786.8,April,Qtr 2,2017,AMERICAS,United States,Maine,Avocados,Avocado,Dominican Republic,2017-04
5,0.56,3,1.93,189.7,June,Qtr 2,2017,AMERICAS,United States,Georgia,Oils and Butters,Oil,Peru,2017-06
10,0,135.66,887.26,9733.9,May,Qtr 2,2017,AMERICAS,United States,Hawaii,Oils and Butters,Oil,Mexico,2017-05
5,7.7,32.61,213.28,2057.8,June,Qtr 2,2017,AMERICAS,United States,Louisiana,Oils and Butters,Oil,Dominican Republic,2017-06
9,107.12,271.44,1109.62,28518.9,March,Qtr 1,2017,AMERICAS,United States,Kentucky,Avocados,Avocado,Dominican Republic,2017-03
4,0,206.2,15.54,1301.1,March,Qtr 1,2017,AMERICAS,United States,Arkansas,Oils and Butters,Butter,Mexico,2017-03
13,35.02,197.14,1105.12,12442.3,December,Qtr 4,2017,AMERICAS,United States,Wisconsin,Avocados,Avocado,Dominican Republic,2017-12
20,24.38,112.96,119.8,11806.2,October,Qtr 4,2017,AMERICAS,United States,Alaska,Avocados,Avocado,Peru,2017-10
8,27.7,112.82,166.51,11793.2,October,Qtr 4,2017,AMERICAS,United States,North Dakota,Avocados,Avocado,Peru,2017-10
9,27.32,153.77,121.03,9705,April,Qtr 2,2017,AMERICAS,United States,Pennsylvania,Cosmetics,Hair,Peru,2017-04
6,1.22,3.94,2.91,248.7,March,Qtr 1,2017,AMERICAS,United States,Idaho,Avocados,Avocado,Peru,2017-03
